,160x120,320x240,640x480,800x600,1024x768,1440x1080,1600x1200,
10,0.049,0.159,0.614,0.942,1.610,3.144,3.834,
100,0.070,0.184,0.662,1.003,1.597,3.204,3.959,
1000,0.269,0.374,0.849,1.186,1.857,3.372,4.061,
10000,2.332,2.422,2.889,3.181,4.158,5.651,6.450,
100000,3.116,15.084,23.536,24.082,24.264,25.976,25.968,
1000000,3.042,14.594,63.835,102.188,167.708,231.534,231.712,
