,160x120,320x240,640x480,800x600,1024x768,1440x1080,1600x1200,
10,0.412,0.742,3.001,6.050,3.986,9.936,30.834,
100,1.153,2.164,6.868,10.441,12.226,27.889,34.724,
1000,4.587,9.698,28.863,19.961,28.142,104.702,95.471,
10000,4.284,8.404,34.859,65.822,68.760,296.115,274.624,
100000,9.683,17.883,75.267,64.948,86.961,399.648,336.000,
1000000,42.843,62.272,151.255,97.080,200.381,579.960,459.343,
