,160x120,320x240,640x480,800x600,1024x768,1440x1080,1600x1200,
10,0.441,0.461,1.446,2.156,3.380,6.527,7.912,
100,0.702,1.338,3.179,4.334,6.187,10.360,12.275,
1000,1.806,4.510,11.729,15.818,22.552,36.053,41.671,
10000,2.006,6.538,22.785,34.167,53.902,100.676,124.413,
100000,3.480,8.500,25.970,38.450,59.685,110.642,138.963,
1000000,18.048,23.502,44.486,56.688,81.855,133.589,157.100,
