,160x120,320x240,640x480,800x600,1024x768,1440x1080,1600x1200,
10,-0.129,0.017,0.066,0.136,0.177,0.517,0.401,
100,0.004,0.053,0.181,0.159,0.432,0.852,0.815,
1000,-0.018,0.229,0.477,0.870,1.767,3.048,1.797,
10000,-0.028,0.301,1.220,2.309,5.400,8.012,6.648,
100000,0.009,0.262,1.777,2.815,5.765,7.467,8.913,
1000000,-0.443,4.140,2.169,5.745,3.216,3.680,8.693,
