,160x120,320x240,640x480,800x600,1024x768,1440x1080,1600x1200,
10,0.094,0.310,0.875,1.454,3.251,4.940,2.722,
100,0.169,0.385,1.279,2.284,3.529,4.658,5.394,
1000,0.371,0.887,2.120,3.386,4.117,5.140,4.911,
10000,1.046,1.830,4.752,7.964,14.854,14.545,14.841,
100000,7.138,5.999,12.680,15.618,23.663,19.353,25.729,
1000000,65.877,53.859,61.064,78.865,79.923,47.025,81.034,
