,160x120,320x240,640x480,800x600,1024x768,1440x1080,1600x1200,
10,0.045,0.319,1.656,2.058,4.363,5.511,8.502,
100,0.067,0.467,0.993,2.487,4.142,3.350,8.723,
1000,0.255,0.780,1.895,2.619,5.018,6.153,9.798,
10000,2.492,6.637,7.357,6.914,9.515,14.000,20.103,
100000,9.092,37.972,66.883,70.249,56.778,70.908,73.524,
1000000,9.637,45.383,176.214,293.078,429.296,671.956,549.985,
