,160x120,320x240,640x480,800x600,1024x768,1440x1080,1600x1200,
10,8.037,7.749,10.535,12.441,11.986,19.039,19.675,
100,7.252,7.897,10.220,12.525,13.517,17.769,21.602,
1000,7.517,7.865,9.914,12.570,13.415,17.047,22.988,
10000,6.986,9.229,10.278,12.626,11.919,18.459,21.362,
100000,7.557,9.571,10.546,12.357,12.965,18.196,22.305,
1000000,7.431,8.830,10.814,12.298,13.690,18.073,21.951,
