,160x120,320x240,640x480,800x600,1024x768,1440x1080,1600x1200,
10,0.179,1.494,1.818,2.577,3.568,10.065,9.185,
100,0.648,3.152,4.536,5.309,9.227,11.585,14.379,
1000,1.817,9.614,12.357,20.141,27.599,39.352,47.005,
10000,6.031,7.795,28.016,36.986,60.443,132.145,145.568,
100000,10.334,10.073,38.141,54.104,89.689,135.195,183.629,
1000000,42.187,49.639,75.679,92.706,107.591,221.831,244.051,
