,160x120,320x240,640x480,800x600,1024x768,1440x1080,1600x1200,
10,0.473,0.749,1.886,6.203,5.347,12.224,12.815,
100,1.779,2.013,4.306,11.141,10.328,13.770,21.469,
1000,2.839,6.676,17.459,49.524,61.641,73.502,93.870,
10000,5.772,14.665,35.015,86.146,81.312,208.927,310.342,
100000,8.238,15.556,50.965,75.304,141.876,194.382,282.006,
1000000,31.170,66.853,112.481,89.624,192.095,351.956,277.801,
