,160x120,320x240,640x480,800x600,1024x768,1440x1080,1600x1200,
10,0.273,0.428,1.227,2.074,3.147,6.936,8.467,
100,0.398,0.516,1.124,2.552,4.174,6.786,8.637,
1000,0.500,0.655,1.776,2.362,4.696,7.414,6.856,
10000,0.751,0.880,2.429,2.764,3.908,6.338,9.730,
100000,3.399,3.485,5.143,6.397,7.359,11.373,9.558,
1000000,24.726,22.464,34.878,33.873,26.274,19.820,51.819,
