,160x120,320x240,640x480,800x600,1024x768,1440x1080,1600x1200,
10,0.060,0.163,1.161,1.565,2.528,5.076,6.305,
100,0.071,0.176,1.158,1.893,2.564,5.117,6.693,
1000,0.172,0.454,1.703,2.536,3.160,7.253,8.531,
10000,0.599,1.192,3.557,5.621,9.332,14.474,15.925,
100000,4.600,3.895,8.734,10.442,16.982,21.456,26.637,
1000000,33.401,48.797,49.894,46.777,56.025,51.713,77.653,
