,160x120,320x240,640x480,800x600,1024x768,1440x1080,1600x1200,
10,0.073,0.247,0.858,1.096,1.748,4.546,5.258,
100,0.197,0.427,1.041,1.600,2.851,4.688,6.170,
1000,1.563,1.670,2.612,2.394,3.918,7.288,7.994,
10000,12.579,13.830,14.357,14.497,16.631,18.690,20.088,
100000,151.243,140.712,144.094,139.002,139.557,146.822,149.667,
1000000,1371.636,1311.509,1244.006,1369.148,1337.695,1432.822,959.652,
