"","160x120","320x240","640x480","800x600","1024x768","1440x1080","1600x1200",
"10","0.158","0.560","2.014","2.902","5.954","11.298","12.916",
"100","0.134","0.611","2.300","3.602","6.257","11.127","11.664",
"1000","0.594","1.144","2.836","4.020","7.672","10.285","13.550",
"10000","3.979","4.102","8.545","8.924","14.115","18.274","21.849",
"100000","6.551","18.834","35.810","64.458","81.697","77.121","73.811",
"1000000","8.009","20.058","174.809","196.449","523.455","509.527","476.767",
