"","160x120","320x240","640x480","800x600","1024x768","1440x1080","1600x1200",
"10","0.274","1.061","3.654","4.798","11.461","19.011","24.205",
"100","0.315","1.090","3.755","6.131","9.973","19.609","27.075",
"1000","0.406","1.234","3.971","7.373","9.975","19.418","25.361",
"10000","0.984","2.118","3.999","8.437","11.461","20.145","26.708",
"100000","1.500","5.628","13.230","15.888","19.193","44.710","37.847",
"1000000","1.136","5.287","20.453","35.764","58.915","120.762","97.316",
