"","160x120","320x240","640x480","800x600","1024x768","1440x1080","1600x1200",
"10","0.145","0.662","3.058","4.613","14.191","16.835","11.734",
"100","0.166","0.741","2.447","4.727","11.876","15.680","8.777",
"1000","0.323","0.788","2.920","4.360","8.236","15.954","10.729",
"10000","1.476","2.142","4.305","5.386","8.574","15.154","21.256",
"100000","1.907","7.762","13.133","13.831","20.600","30.774","34.164",
"1000000","1.522","7.111","25.285","34.825","91.153","129.247","120.191",
