"","160x120","320x240","640x480","800x600","1024x768","1440x1080","1600x1200",
"10","0.883","0.808","3.054","5.937","14.518","20.431","19.095",
"100","0.759","0.809","3.100","4.120","9.731","18.298","23.595",
"1000","0.436","0.895","2.926","4.142","6.003","12.005","22.115",
"10000","0.932","1.034","4.225","5.980","7.827","17.378","17.387",
"100000","0.365","1.468","6.952","11.039","15.192","27.025","27.087",
"1000000","0.358","1.304","5.958","9.111","13.225","70.445","63.494",
