"Graph Type","Date","Average Time (ms)","Total Time (ms)","Number of Tries","Number of Data Points","Image Width","Image Height","Dataset Comments","Author","General Message","JVM Version","Available Memory (GB)","RAM (GB)","OS"," OS Version"
"LineGraph2D","2014/02/28 11:56:20",36.646819898336425,19530,541,1000000,600,400,"","asbarber","Max Dataset Size Test","1.7.0_25",1.762,7.923,"Windows 8","6.2"
"LineGraph2D","2014/02/28 12:01:35",3.509685757863294,17228,5691,10000,640,480,"","","Initialize","1.7.0_25",1.762,7.923,"Windows 8","6.2"
