"Graph Type","Date","Average Time (ms)","Total Time (ms)","Number of Tries","Number of Data Points","Image Width","Image Height","Dataset Comments","Author","General Message","JVM Version","Available Memory (GB)","RAM (GB)"
"LineGraph2D","2014/02/12 21:10:44",4.183195840704266,17192,4771,10000,640,480,"","","Initialization","1.7.0_25",1.762,7.923
"LineGraph2D","2014/02/21 14:19:26",55.91713157344633,19611,354,1000000,600,400,"","asbarber","Max Dataset Size Test","1.7.0_25",1.762,7.923
