"Graph Type","Date","Average Time (ms)","Total Time (ms)","Number of Tries","Number of Data Points","Image Width","Image Height","Dataset Comments","Author","General Message","JVM Version","Available Memory (GB)","RAM (GB)"
"SparklineGraph2D","2014/02/12 21:11:24",44.57111471333336,19814,450,10000,640,480,"","","Initialization","1.7.0_25",1.762,7.923
"SparklineGraph2D","2014/02/21 14:20:06",27.764226643550597,19698,721,1000,600,400,"","asbarber","Max Dataset Size Test","1.7.0_25",1.762,7.923
