"Graph Type","Date","Average Time (ms)","Total Time (ms)","Number of Tries","Number of Data Points","Image Width","Image Height","Dataset Comments","Author","General Message","JVM Version","Available Memory (GB)","RAM (GB)","OS"," OS Version"
"ScatterGraph2D","2014/02/28 11:56:40",1.7818244063031632,15015,11169,1000,600,400,"","asbarber","Max Dataset Size Test","1.7.0_25",1.762,7.923,"Windows 8","6.2"
"ScatterGraph2D","2014/02/28 12:01:55",16.191036927876823,19319,1234,10000,640,480,"","","Initialize","1.7.0_25",1.762,7.923,"Windows 8","6.2"
