,160x120,320x240,640x480,800x600,1024x768,1440x1080,1600x1200,
10,0.073,0.282,1.173,1.737,2.846,6.081,6.382,
100,0.113,0.345,1.058,1.796,3.016,5.118,5.380,
1000,0.285,0.678,1.816,2.597,4.109,7.318,7.617,
10000,0.847,1.481,3.992,5.901,11.298,18.066,18.297,
100000,4.169,6.174,9.187,11.310,19.673,24.589,26.360,
1000000,50.715,55.250,57.863,57.711,67.079,75.789,81.864,
