,160x120,320x240,640x480,800x600,1024x768,1440x1080,1600x1200,
10,0.307,0.514,1.536,2.329,3.871,7.339,8.410,
100,0.350,0.612,1.843,2.668,4.521,7.727,8.347,
1000,0.464,0.752,2.115,2.972,4.883,8.389,10.183,
10000,0.785,1.103,2.303,3.039,5.639,8.401,9.508,
100000,3.820,3.805,5.813,4.978,8.881,11.217,13.595,
1000000,33.155,36.551,32.756,37.139,37.047,39.737,45.482,
