,160x120,320x240,640x480,800x600,1024x768,1440x1080,1600x1200,
10,0.243,0.412,1.274,1.241,3.271,4.442,4.743,
100,0.331,0.335,1.812,2.299,3.637,5.845,5.407,
1000,0.394,0.626,1.807,1.610,3.570,6.082,4.431,
10000,0.672,0.778,2.136,2.162,3.490,6.802,7.408,
100000,2.349,1.686,4.554,3.845,7.124,7.347,13.811,
1000000,18.466,16.831,24.186,20.664,18.070,24.631,45.883,
