,160x120,320x240,640x480,800x600,1024x768,1440x1080,1600x1200,
10,0.189,0.457,1.672,2.381,3.746,7.050,8.625,
100,0.619,1.331,3.593,4.782,6.769,11.394,12.945,
1000,1.750,4.602,13.203,17.923,24.907,40.682,44.979,
10000,1.965,6.613,25.861,38.596,61.683,119.699,148.380,
100000,3.451,8.729,29.511,43.975,68.675,133.485,166.839,
1000000,18.276,24.752,50.122,64.732,91.030,160.625,188.073,
