"","160x120","320x240","640x480","800x600","1024x768","1440x1080","1600x1200",
"10","0.130","0.416","2.439","3.126","5.253","3.253","8.341",
"100","0.251","0.642","2.222","3.621","5.799","3.209","11.829",
"1000","0.925","1.280","2.467","3.747","6.973","3.363","12.341",
"10000","10.605","11.031","10.837","10.684","14.180","5.516","20.117",
"100000","13.166","60.719","90.960","80.839","86.288","31.536","83.540",
"1000000","9.698","65.683","242.520","369.455","517930.068","616.112","791.519",
