"","160x120","320x240","640x480","800x600","1024x768","1440x1080","1600x1200",
"10","0.211","0.478","2.117","3.474","5.689","9.951","11.921",
"100","0.233","0.641","2.026","3.515","5.374","9.998","13.020",
"1000","0.616","1.133","2.686","3.718","6.474","11.034","12.809",
"10000","4.074","5.578","8.571","9.989","13.510","16.312","21.715",
"100000","6.509","19.132","43.507","56.760","63.136","72.394","82.389",
"1000000","6.398","24.451","165.617","367.751","386.981","467.458","843.582",
