"","160x120","320x240","640x480","800x600","1024x768","1440x1080","1600x1200",
"10","0.122","0.740","3.152","4.743","8.964","16.018","17.008",
"100","0.068","0.848","3.384","4.877","10.284","16.299","22.167",
"1000","0.301","1.292","3.577","4.526","9.070","17.520","23.787",
"10000","1.831","2.875","6.285","8.465","11.150","16.872","26.931",
"100000","2.269","10.105","18.726","27.312","28.812","33.632","44.494",
"1000000","2.017","11.169","38.631","73.824","110.752","181.617","168.072",
