"","160x120","320x240","640x480","800x600","1024x768","1440x1080","1600x1200",
"10","0.135","0.457","1.641","2.844","4.912","12.017","12.691",
"100","0.220","0.685","2.525","3.292","4.906","9.623","11.839",
"1000","0.922","1.102","3.140","3.969","6.955","11.618","14.224",
"10000","4.943","6.194","11.013","10.798","14.568","20.686","22.595",
"100000","8.062","38.869","88.122","36.135","95.290","76.643","92.841",
"1000000","5.748","35.722","245.616","220.004","681.073","459.153","691.126",
