"","160x120","320x240","640x480","800x600","1024x768","1440x1080","1600x1200",
"10","0.167","0.711","2.639","4.235","6.177","17.809","14.230",
"100","0.143","0.725","2.752","4.609","8.649","14.262","19.705",
"1000","0.240","0.742","2.713","3.952","6.030","14.228","17.584",
"10000","0.712","1.178","3.463","4.328","6.146","13.498","19.091",
"100000","0.331","1.207","6.478","8.882","13.021","17.228","24.248",
"1000000","0.336","1.360","5.326","6.589","13.760","43.221","57.824",
